CUST_ID,Tags,PURCHASES,CREDIT_LIMIT,PRC_FULL_PAYMENT
C10131,"VIP, 高價值, 高消費力, 大額單筆消費, 低額度",12462.44,2800.0,0.0
C10144,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",22009.92,18000.0,0.0
C10177,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",10221.35,10500.0,0.75
C10212,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",10848.5,7500.0,0.0
C10229,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",11188.62,10000.0,0.0
C10238,"VIP, 高價值, 高消費力, 偏好分期, 高額度",10410.49,19500.0,0.363636
C10284,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",32539.78,11500.0,0.083333
C10407,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",11147.33,11000.0,0.0
C10523,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",41050.4,17000.0,0.083333
C10529,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",26402.39,16500.0,1.0
C10534,"VIP, 高價值, 高消費力, 偏好分期, 高額度",13771.63,14500.0,0.25
C10574,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",49039.57,22500.0,0.25
C10584,"VIP, 高價值, 高消費力, 優質還款, 偏好分期",10700.63,6000.0,0.818182
C10587,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",11313.77,6000.0,0.833333
C10598,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",11681.64,10500.0,0.0
C10608,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",12465.21,13000.0,0.0
C10611,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",27957.68,9000.0,1.0
C10616,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",11674.64,16000.0,0.0
C10649,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",11202.09,7500.0,0.083333
C10671,"VIP, 高價值, 高消費力, 優質還款, 偏好分期, 高額度",14604.87,15500.0,1.0
C10678,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",14332.92,16000.0,0.0
C10696,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",12650.0,10500.0,0.0
C10885,"VIP, 高價值, 高消費力, 套現傾向, 大額單筆消費, 高額度",12551.95,17000.0,0.416667
C10975,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",17409.21,19500.0,0.333333
C11004,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",26582.34,28000.0,0.875
C11234,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",22746.81,18000.0,1.0
C11300,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",40040.71,18000.0,1.0
C11458,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",10549.19,9000.0,1.0
C11481,"VIP, 高價值, 高消費力, 優質還款, 偏好分期, 高額度",12375.0,16500.0,1.0
C11495,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",25615.07,17000.0,0.166667
C11612,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",21802.6,13000.0,0.916667
C11635,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",11414.48,9000.0,0.916667
C11638,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",25378.36,14500.0,0.0
C11657,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",38902.71,18000.0,1.0
C11695,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",31299.35,7500.0,0.583333
C11765,"VIP, 高價值, 高消費力, 偏好分期, 高額度",12617.19,15000.0,0.428571
C11814,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",10709.17,15000.0,1.0
C11825,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",14300.98,18000.0,1.0
C12054,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",15704.04,3000.0,0.916667
C12332,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",11507.4,10500.0,0.833333
C12597,"VIP, 高價值, 高消費力, 優質還款, 偏好分期",10243.48,7500.0,1.0
C12905,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",15108.47,12000.0,0.0
C13058,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",22381.97,14500.0,0.0
C13183,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",14215.0,9000.0,0.0
C13213,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",10199.63,15000.0,0.0
C13272,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",14686.1,13600.0,0.0
C13376,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",10755.68,10000.0,0.0
C13755,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",20421.59,17000.0,0.083333
C13802,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",27790.42,12000.0,0.727273
C13825,"VIP, 高價值, 高消費力, 大額單筆消費",13013.5,7000.0,0.0
C13896,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",11653.14,16500.0,0.0
C14048,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",35131.16,12000.0,0.75
C14218,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",10166.69,14000.0,0.0
C14338,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",17945.0,18000.0,0.0
C14400,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",20747.34,10000.0,1.0
C14640,"VIP, 高價值, 高消費力, 套現傾向, 偏好分期, 高額度",11500.94,14000.0,0.166667
C14667,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",11522.9,4500.0,0.916667
C14964,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",10903.22,12000.0,1.0
C15407,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",22500.0,23000.0,0.0
C15510,"VIP, 高價值, 高消費力, 大額單筆消費",22101.78,7500.0,0.25
C15625,"VIP, 高價值, 高消費力, 大額單筆消費",12784.51,6200.0,0.0
C15649,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",14454.98,9000.0,0.916667
C15731,"VIP, 高價值, 高消費力, 大額單筆消費",11250.65,9500.0,0.083333
C16024,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期",10148.7,9800.0,0.0
C16565,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",10915.37,5000.0,1.0
C16823,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",11878.25,6000.0,0.6
C17237,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",26784.62,30000.0,0.75
C17473,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費",11577.0,5500.0,0.666667
C17579,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",11994.71,13450.0,0.0
C17757,"VIP, 高價值, 高消費力, 大額單筆消費",12024.37,8000.0,0.333333
